run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
5124,8571554,25070105,10751893,22891524
5125,8571673,25069830,10762352,22881080
5126,8571625,25070071,10751082,22892493
5127,8571394,25070026,10751711,22891470
5128,8571475,25070032,10788978,22854073
5129,8571433,25070048,10769059,22874438
5130,8571706,25070099,10740644,22902885
5131,8571843,25070024,10753567,22890171
5132,8571484,25069926,10736085,22907238
5133,8571889,25069977,10788338,22854966
5134,8571526,25070002,10740040,22903505
5135,8571265,25069969,10748243,22895456
5136,8571427,25070012,10745939,22897689
5137,8571459,25069928,10733226,22909985
5138,8571462,25069984,10786706,22856634
5139,8571699,25069959,10761094,22882267
5140,8571646,25070083,10745536,22897443
5141,8571283,25070024,10733879,22909174
5142,8572007,25069846,10742709,22900833
5143,8571488,25070114,10786864,22856355
5144,8571279,25070164,10792704,22851266
5145,8571700,25069890,10795108,22848304
5146,8571535,25070112,10752648,22890882
5147,8571553,25070104,10771138,22872055
5148,8571104,25070073,10784863,22858454
5149,8571571,25070052,10740233,22903201
5150,8571624,25070018,10778366,22864801
5151,8571684,25069885,10716313,22927240
5152,8571484,25070020,10739763,22903599
5153,8571401,25070061,10781263,22862028
5154,8571137,25070184,10723446,22919851
5155,8571326,25070077,10776969,22866037
5156,8571495,25070106,10749899,22892676
5157,8571705,25070034,10795628,22847302
5158,8571653,25069943,10777678,22865315
5159,8571268,25070100,10795594,22848041
5160,8571529,25070003,10775520,22867754
