run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
1682,8571713,25070178,10005159,23638225
1683,8576295,25066266,10022349,23620990
1684,8571128,25069969,9911296,23736625
1685,8571493,25070378,9936970,23707390
1686,8571839,25070125,9994672,23648847
1687,8571770,25070169,10002353,23640830
1688,8571123,25070141,9996774,23647105
1689,8571487,25070003,10010532,23632912
1690,8571590,25070049,9985050,23658827
1691,8571533,25070063,9975894,23667455
1692,8571359,25070121,9966761,23677513
1693,8571616,25069984,10014521,23628332
1694,8571514,25070101,9976232,23667629
1695,8571494,25070106,10014252,23629152
1696,8571643,25070114,9969641,23673962
1697,8576295,25065405,9938189,23704599
1698,8571481,25070067,10001440,23641871
1699,8571361,25070179,9935586,23708059
1700,8571581,25070134,10015140,23628729
1701,8571726,25069991,10007036,23636877
1702,8571721,25069925,10002942,23640969
1703,8571654,25070101,10012353,23631576
1704,8571443,25070234,9995523,23647877
1705,8571512,25070038,10004637,23638885
1706,8576883,25064856,10004908,23638745
1707,8571956,25070047,10002271,23640830
1708,8571798,25070022,9993536,23649333
1709,8571689,25070133,10042270,23601426
1710,8571427,25070183,9963337,23679890
1711,8571827,25070213,9986509,23656607
1712,8571421,25070116,9997570,23645524
1713,8571729,25070239,9998472,23644686
1714,8574510,25067417,9946094,23696961
1715,8571570,25069962,9984251,23658911
1716,8571278,25070095,9992901,23649954
1717,8571439,25070017,9954008,23689487
1718,8572018,25069953,9998441,23644466
1719,8571679,25070078,9995354,23648194
1720,8571976,25070081,9950149,23693291
1721,8571897,25070251,9994738,23648905
1722,8571804,25070026,9937208,23706211
1723,8571924,25070016,10002011,23641607
1724,8571364,25070062,9957002,23686880
1725,8571618,25069936,9957187,23686729
1726,8571361,25070102,9969193,23674036
1727,8571619,25070138,9996249,23647497
1728,8571701,25070062,10002578,23641767
1729,8571508,25070027,9939074,23704519
1730,8571459,25070096,9974901,23668588
1731,8571352,25069960,10008571,23635260
1732,8571487,25070079,9999202,23644720
1733,8571439,25070074,9960432,23683098
1734,8571830,25070614,9932874,23710919
1735,8571943,25070114,9934346,23708366
1736,8571570,25070127,9955081,23688299
1737,8571488,25070067,10018322,23624922
1738,8571198,25070321,9960595,23682332
1739,8571477,25070093,10002296,23640754
1740,8571415,25070033,9933374,23710344
1741,8571069,25070060,10051861,23591828
1742,8571345,25070043,10004157,23639375
1743,8571610,25070116,9965517,23677802
1744,8571624,25070013,9939554,23704228
1745,8571299,25070062,9951038,23692308
1746,8571326,25070159,9978281,23665410
1747,8571520,25070087,10012740,23631486
1748,8571231,25070098,9935432,23708810
1749,8571665,25069856,10008652,23634755
1750,8571623,25070056,9987168,23656796
1751,8571595,25070152,9994678,23648283
1752,8571478,25070000,10000119,23644097
1753,8571598,25069995,9998749,23644399
1754,8571409,25069985,10015016,23629112
1755,8571620,25070077,10008138,23634906
1756,8571718,25069986,9965613,23677587
1757,8571914,25069996,9994524,23649204
1758,8571434,25070112,9959996,23683841
1759,8571728,25070047,10003022,23640293
1760,8571118,25070173,9929243,23713771
1761,8571532,25070078,9946805,23696511
1762,8571797,25070062,9996138,23648148
1763,8571717,25070076,10005882,23637431
1764,8571326,25070179,9963676,23680649
1765,8571564,25070118,9982902,23660026
1766,8571322,25070164,9922349,23720993
1767,8571454,25070086,10014817,23628973
1768,8571636,25070030,10009338,23634698
1769,8572026,25070141,10010514,23632941
1770,8571541,25070084,9975176,23668151
1771,8571537,25069906,9982654,23660802
1772,8571418,25070114,10008327,23634600
1773,8572010,25070090,10033227,23609931
1774,8571409,25070055,10004386,23639480
1775,8571588,25070350,9979068,23664085
1776,8571737,25070104,10002924,23639890
1777,8571805,25070184,9992816,23650441
1778,8571294,25070043,10009949,23633346
1779,8572056,25070210,10002003,23641624
1780,8571180,25070059,10006115,23636849
1781,8572042,25070558,9995025,23648353
1782,8571212,25070219,10001454,23642316
1783,8571832,25070269,10000553,23642972
1784,8571517,25069965,9969074,23674434
1785,8571539,25070011,9944013,23699883
1786,8571611,25070091,9992324,23651586
1787,8571506,25070110,9998048,23645292
1788,8571536,25070292,9980445,23663413
1789,8571915,25069940,9951618,23691863
1790,8572424,25070521,9976778,23667162
1791,8571951,25070016,9936858,23706933
1792,8571780,25070071,9996874,23647138
1793,8571428,25070057,9971797,23671524
1794,8571759,25070076,9962369,23681409
1795,8571570,25069969,9999517,23643824
1796,8571396,25070057,9985321,23658836
1797,8571692,25069933,10005195,23638005
1798,8571468,25070034,9993593,23650449
1799,8571627,25069996,10016159,23627592
1800,8572171,25070009,10001100,23642897
1801,8572065,25069913,9995265,23647780
1802,8571778,25070083,10002700,23641365
1803,8571504,25069994,9958172,23685423
1804,8571533,25070236,10003353,23640753
1805,8572164,25070426,10181057,23468342
1806,8571534,25070155,9933525,23709638
1807,8571826,25070039,9992282,23651695
1808,8571438,25069969,9923038,23719979
1809,8571455,25070050,10024117,23618972
1810,8572235,25070013,10008206,23635518
1811,8571617,25070004,9996650,23647110
1812,8571302,25070084,10005860,23638199
1813,8571443,25070175,10013048,23630816
1814,8571458,25070129,9993858,23649631
1815,8571612,25070004,9982950,23660685
1816,8571555,25070033,9959509,23684184
1817,8571427,25070018,10012158,23630984
1818,8571681,25070106,10007942,23636133
1819,8571604,25070076,9941952,23701561
1820,8571746,25070140,9997919,23646205
1821,8571256,25070024,10016778,23626626
1822,8571579,25070061,10006977,23637248
1823,8571897,25070048,9965537,23678128
1824,8571487,25070182,10003697,23640041
1825,8571863,25070039,9997637,23645562
1826,8571977,25070105,9930000,23713665
1827,8571413,25070032,10008117,23635083
1828,8571274,25070198,9982724,23660723
1829,8571425,25070082,10001270,23642815
1830,8571756,25070059,9979160,23663773
1831,8571671,25069968,10010744,23632460
1832,8571419,25070185,10005771,23638257
1833,8572256,25070175,10046762,23597106
1834,8571685,25070241,10002196,23641294
1835,8571651,25070000,9960458,23682673
1836,8571688,25070083,9972966,23670819
1837,8571712,25070027,10001321,23641987
1838,8571865,25070094,9992455,23651404
1839,8571566,25069936,10009824,23633411
1840,8571077,25070215,10034152,23609753
1841,8571739,25070082,10009840,23633384
1842,8571804,25070073,10010739,23633062
1843,8571635,25069994,9952701,23690734
1844,8571727,25070154,9968204,23675050
1845,8571484,25070001,9996163,23647664
1846,8571525,25070055,10000267,23642437
1847,8571597,25069980,9994175,23649410
1848,8571589,25070126,9575138,24068170
1849,8571617,25070078,9971695,23672124
1850,8571991,25070144,9928827,23714554
1851,8571444,25070095,10003378,23639715
1852,8571903,25070202,9996225,23647856
1853,8571857,25070357,9947559,23695385
1854,8571997,25070549,9971417,23671607
1855,8571597,25070117,9971756,23671863
1856,8571745,25070271,9990059,23652778
1857,8571562,25070073,9965289,23678067
1858,8571734,25070126,10001861,23641425
1859,8571285,25070083,10015680,23628105
1860,8572086,25070303,10013635,23629508
1861,8571388,25070161,10000438,23642643
1862,8571873,25070167,9991368,23651849
1863,8571161,25070164,10004292,23638773
1864,8571704,25070329,9978049,23664919
1865,8571638,25070083,10006161,23637709
1866,8571784,25070210,10002893,23640961
1867,8571397,25070096,9992152,23651511
1868,8571508,25070157,9973538,23670439
1869,8571595,25070080,9957677,23685925
1870,8571643,25070222,9973530,23670031
1871,8571630,25069998,10004135,23638870
1872,8571564,25069967,10030706,23612770
1873,8571593,25069999,9961387,23682600
1874,8572185,25070130,9991417,23652334
1875,8571839,25070103,9958246,23685422
1876,8571746,25070167,10010529,23633034
1877,8571623,25070038,10005421,23638387
1878,8571553,25070189,9956541,23687664
1879,8571114,25070074,10004924,23638398
1880,8571618,25070198,9994828,23648625
1881,8571664,25070103,10042824,23600505
1882,8571661,25070305,9999397,23644246
1883,8571460,25069968,10005180,23638451
1884,8572270,25069940,10013346,23631081
1885,8571463,25070084,9969769,23673827
1886,8571714,25070218,9998376,23645831
1887,8571715,25070030,9971653,23671559
1888,8571418,25070157,9941668,23702342
1889,8571636,25070136,9984379,23658714
1890,8571658,25070141,9996131,23647731
1891,8571384,25069983,10020233,23622763
1892,8572150,25070535,9988596,23655209
1893,13604199,20214231,9984675,23658956
1894,8571679,25070052,9957620,23686238
1895,8571676,25070034,9992315,23651895
1896,8571715,25070144,9999007,23644897
1897,8571529,25069959,9969052,23674216
1898,8571134,25070127,9984969,23658652
1899,8571589,25069924,9997926,23645993
1900,8571570,25069960,9999018,23644942
1901,8571639,25069994,10010108,23633050
1902,8571516,25070028,9963795,23679688
1903,8571303,25069958,9989530,23653808
1904,8571641,25070073,9961437,23681770
1905,8571237,25070135,9928776,23715677
1906,8571513,25069932,10004436,23638284
1907,8571610,25070080,9976302,23667423
1908,8571472,25069977,9998010,23645312
1909,8571669,25070229,9989946,23653838
1910,8571934,25069902,9994086,23649323
1911,8571461,25070087,10004608,23639340
1912,8571410,25069947,9971244,23671724
