trial,type,int_eliminated,int_not_eliminated,instructions,cycles,time_sec
151,low,16014,2126,600155284,182397009,
152,high,174550394,225472533,600155264,134173846,
152,low,15954,2115,600155277,182405895,
153,high,174771833,225249263,600155265,133683590,
153,low,16092,2174,600155283,182793723,
154,high,173551631,226468694,600155258,134141395,
154,low,15940,2179,600155285,182489583,
155,high,173210998,226810257,600155265,134338345,
155,low,16000,2174,600155276,182297226,
156,high,174215517,225804650,600155256,133898602,
156,low,16000,2145,600155278,182564434,
157,high,173415082,226605054,600155257,134253740,
157,low,16044,2136,600155286,182539149,
158,high,174239222,225781955,600155262,134577534,
158,low,15867,2148,600155285,182280063,
159,high,174761010,225260112,600155265,133687407,
159,low,15955,2179,600155283,182383304,
160,high,173066051,226955023,600155265,135069315,
160,low,15735,2162,600155284,182487552,
161,high,172842104,227179266,600155272,134550090,
161,low,15997,2214,600155285,182467088,
162,high,173900080,226121631,600155265,134072330,
162,low,15887,2097,600155278,182535211,
163,high,174214792,225806404,600155264,133900693,
163,low,16123,2115,600155278,182517693,
164,high,174514225,225505973,600155256,134693568,
164,low,15927,2147,600155285,182327262,
165,high,174133674,225887773,600155264,133970908,
165,low,15847,2107,600155284,182745608,
166,high,174340390,225679593,600155256,133842377,
166,low,15882,2150,600155286,182594808,
167,high,173411113,226610075,600155266,134251969,
167,low,15889,2103,600155284,182432255,
168,high,174247859,225773389,600155265,133909487,
168,low,16101,2155,600155283,182449310,
169,high,173829633,226191352,600155264,134036933,
169,low,16011,2161,600155276,182870255,
170,high,173870151,226151010,600155266,133998464,
170,low,16014,2116,600155284,182413702,
171,high,174249895,225771546,600155265,134269621,
171,low,16181,2173,600155284,182496118,
172,high,174174824,225846791,600155266,133903712,
172,low,15844,2112,600155284,182515139,
173,high,173706261,226313938,600155257,135034354,
173,low,15984,2146,600155284,182425034,
174,high,174273083,225747788,600155264,134584168,
174,low,15988,2116,600155275,182323705,
175,high,173623641,226397925,600155266,134188051,
175,low,16086,2159,600155284,182501564,
176,high,174020380,226000839,600155264,133958591,
176,low,16051,2096,600155284,182802067,
177,high,173375095,226646429,600155270,134260767,
177,low,16069,2178,600155276,182250110,
178,high,174670976,225350035,600155264,135002486,
178,low,15912,2080,600155283,182662387,
179,high,174749899,225270109,600155257,133662772,
179,low,15954,2165,600155285,182733915,
180,high,174283521,225736641,600155255,133870099,
180,low,15839,2152,600155284,182606923,
181,high,174120536,225900628,600155267,133976282,
181,low,15879,2139,600155286,182597610,
182,high,173758969,226262134,600155265,134132108,
182,low,15966,2045,600155284,182311443,
183,high,173889581,226131983,600155266,133988367,
183,low,15861,2132,600155285,182569823,
184,high,174212088,225809389,600155266,133943380,
184,low,16149,2149,600155283,184861291,
185,high,174128552,225892825,600155265,134501720,
185,low,15781,2077,600155276,182679750,
186,high,174056343,225964882,600155264,134000378,
186,low,15872,2046,600155285,182364435,
187,high,173774291,226246815,600155265,134622360,
187,low,15896,2117,600155283,182489579,
188,high,173909608,226111667,600155265,134608657,
188,low,15851,2103,600155284,182472941,
189,high,173888711,226134912,600155267,133955033,
189,low,16017,2130,600155284,182471673,
190,high,172817370,227203242,600155256,134512193,
190,low,16077,2143,600155284,182749811,
191,high,174199123,225822064,600155265,133937646,
191,low,16075,2103,600155275,182434820,
192,high,174269482,225754415,600155265,133854589,
192,low,15824,2124,600155289,182877005,
193,high,173817407,226205515,600155264,133734462,
193,low,15737,2060,600155284,182651768,
194,high,172996307,227025357,600155266,134392104,
194,low,15851,2138,600155284,182678596,
195,high,173973542,226047683,600155264,133980073,
195,low,16011,2156,600155283,182522226,
196,high,174030449,225991158,600155264,134524673,
196,low,16052,2132,600155285,182521667,
197,high,173773502,226247467,600155266,134025703,
197,low,15944,2177,600155277,182442111,
198,high,173888506,226132758,600155264,134020200,
198,low,15935,2114,600155285,182468517,
199,high,174482786,225537400,600155255,133781376,
199,low,16037,2133,600155275,181972920,
200,high,173187193,226833849,600155264,134335926,
200,low,16239,2166,600155285,182709271,
201,high,174558144,225462786,600155263,133771712,
201,low,15897,2102,600155285,182741449,
202,high,173749849,226270194,600155256,134105608,
202,low,15878,2113,600155276,182557830,
203,high,174505965,225515378,600155265,133771682,
203,low,16030,2121,600155275,182321951,
204,high,174749783,225270466,600155256,133663462,
204,low,15813,2089,600155277,182492526,
205,high,173306812,226713481,600155256,134302139,
205,low,15899,2171,600155284,182395122,
206,high,174215696,225804118,600155256,133898205,
206,low,16100,2191,600155285,182416417,
207,high,174215650,225804772,600155255,133897351,
207,low,15827,2152,600155285,182476930,
208,high,174113940,225908356,600155269,133984809,
208,low,16073,2145,600155286,182430048,
209,high,174327186,225693628,600155256,133792957,
209,low,16243,2113,600155276,182598304,
210,high,173563001,226458222,600155265,134219895,
210,low,16001,2096,600155284,182592500,
211,high,173051776,226969758,600155265,134390493,
211,low,15970,2128,600155275,182452026,
212,high,173981786,226039704,600155266,134584345,
212,low,15840,2122,600155284,182491682,
213,high,174109577,225911579,600155265,133965762,
213,low,16084,2129,600155288,182374955,
214,high,174216340,225803997,600155256,133900324,
214,low,16109,2202,600155284,182401276,
215,high,174138979,225882007,600155266,134558050,
215,low,16216,2194,600155275,182291510,
216,high,174500542,225520856,600155264,133748821,
216,low,15867,2092,600155285,182524199,
217,high,174173657,225847364,600155257,133804449,
217,low,15885,2161,600155276,182426692,
218,high,174401948,225618890,600155266,135154808,
218,low,15852,2093,600155284,182532674,
219,high,174215782,225804355,600155258,133899068,
219,low,15975,2111,600155288,182667166,
220,high,173371863,226649111,600155265,134179396,
220,low,15937,2158,600155284,182313712,
221,high,175004604,225016749,600155265,135758238,
221,low,15769,2104,600155284,182538113,
222,high,174088782,225933076,600155257,133594339,
222,low,16119,2178,600155283,182760623,
223,high,174750087,225270279,600155257,133664157,
223,low,15936,2098,600155275,181894459,
224,high,174404819,225616502,600155266,133839699,
224,low,16071,2185,600155283,182517056,
225,high,173339199,226684203,600155264,134024281,
225,low,16024,2158,600155275,182380385,
226,high,173960976,226060210,600155256,133818626,
226,low,15893,2109,600155285,182770758,
227,high,174249405,225770934,600155258,134825575,
227,low,16100,2138,600155283,182493729,
228,high,173144889,226890025,600155264,136466613,
228,low,15977,2126,600155283,182541934,
229,high,173823745,226199604,600155265,133861993,
229,low,16150,2096,600155284,182320506,
230,high,173446466,226576540,600155266,134012390,
230,low,15767,2103,600155287,182787103,
231,high,174479848,225541600,600155266,134660262,
231,low,15873,2135,600155283,182468309,
232,high,173223787,226797372,600155265,134234411,
232,low,15910,2105,600155283,182516313,
233,high,173635847,226385348,600155266,134763760,
233,low,16041,2155,600155312,182433608,
234,high,174458753,225562621,600155264,133817651,
234,low,16174,2172,600155285,182667880,
235,high,173370259,226652394,600155264,134723160,
235,low,15799,2112,600155276,182427476,
236,high,174432611,225588604,600155265,134483336,
236,low,15750,2158,600155275,182401295,
237,high,173846508,226174488,600155265,134689401,
237,low,15868,2136,600155284,182289364,
238,high,174696609,225324791,600155266,133674808,
238,low,16101,2158,600155284,182519710,
239,high,174269739,225751663,600155264,133908477,
239,low,15811,2115,600155285,182691031,
240,high,174023491,225997598,600155265,134597888,
240,low,15896,2139,600155276,182197504,
241,high,174618487,225402942,600155266,133747107,
241,low,15834,2158,600155284,182512014,
242,high,173756706,226264585,600155267,134130424,
242,low,15937,2132,600155284,182538137,
243,high,174237016,225784206,600155264,134573083,
243,low,15893,2181,600155283,182540066,
244,high,173682022,226338276,600155257,134141031,
244,low,15742,2122,600155284,182455139,
245,high,172077984,227942103,600155256,134850327,
245,low,15954,2139,600155277,182401659,
246,high,174457504,225563450,600155265,134441017,
246,low,15934,2121,600155286,182523454,
247,high,173568487,226456650,600155266,134233380,
247,low,16001,2100,600155284,182468947,
248,high,173591064,226431519,600155265,134061445,
248,low,16202,2129,600155304,182528067,
249,high,174405752,225615718,600155265,134410127,
249,low,15941,2137,600155284,182536474,
250,high,174242397,225778915,600155266,133864837,
250,low,15925,2148,600155276,182518469,
251,high,173681869,226338121,600155258,134135442,
251,low,15904,2087,600155275,182305908,
252,high,174981255,225039611,600155266,134226512,
252,low,16204,2143,600155278,182403513,
253,high,174231738,225789365,600155265,134278249,
253,low,16090,2162,600155285,182615438,
254,high,174420238,225600802,600155265,133761516,
254,low,16161,2141,600155285,182565420,
255,high,173744929,226275341,600155255,134107657,
255,low,15766,2103,600155276,182515356,
256,high,174193334,225826754,600155259,134849797,
256,low,16030,2129,600155285,182467959,
257,high,174104506,225916742,600155264,133952507,
257,low,15962,2119,600155285,182357979,
258,high,173995705,226025462,600155264,133994239,
258,low,16067,2127,600155285,182519007,
259,high,173842301,226178884,600155266,134089358,
259,low,15662,2104,600155285,182429146,
260,high,173211220,226810251,600155265,134338957,
260,low,15990,2185,600155285,182404829,
261,high,173974220,226045853,600155258,134007180,
261,low,16005,2103,600155277,182398679,
262,high,174063803,225957528,600155265,133848541,
262,low,16033,2138,600155284,182653176,
263,high,174152900,225868501,600155265,133961974,
263,low,15985,2158,600155276,182659454,
264,high,173853935,226167286,600155268,134010528,
264,low,15962,2101,600155284,182414398,
265,high,174130041,225891318,600155266,134600878,
265,low,16117,2212,600155284,182533520,
266,high,174002531,226018487,600155264,134020034,
266,low,15772,2133,600155284,182477854,
267,high,173952481,226069298,600155265,133971470,
267,low,15718,2098,600155284,182454692,
268,high,174808193,225212896,600155266,134581432,
268,low,16126,2214,600155286,182413031,
269,high,174518637,225502665,600155265,133801005,
269,low,15922,2159,600155283,182413423,
270,high,174562300,225459435,600155265,134309099,
270,low,15824,2070,600155276,182447302,
271,high,174220225,225800888,600155264,134615838,
271,low,16010,2193,600155284,182361367,
272,high,173644545,226376894,600155265,134157858,
272,low,16065,2162,600155285,182373576,
273,high,174269738,225751412,600155267,133911568,
273,low,15884,2150,600155284,182121008,
274,high,174246982,225773239,600155259,134818930,
274,low,15854,2168,600155283,182559352,
275,high,172879866,227140318,600155256,134493009,
275,low,15851,2083,600155285,182628433,
276,high,173019036,227002325,600155266,134455559,
276,low,15864,2076,600155285,182559974,
277,high,174001915,226019470,600155266,133962152,
277,low,15764,2099,600155285,182383891,
278,high,173845010,226176286,600155264,134095615,
278,low,15889,2108,600155284,182507662,
279,high,174492093,225529095,600155265,133770254,
279,low,16064,2141,600155284,182626750,
280,high,173834448,226187078,600155264,134001247,
280,low,15984,2115,600155285,182763446,
281,high,172674261,227346970,600155266,134562894,
281,low,15882,2139,600155285,182474345,
282,high,174413451,225607465,600155264,133784928,
282,low,15837,2099,600155285,182722339,
283,high,174684651,225336604,600155265,134279293,
283,low,16168,2182,600155284,182517858,
284,high,174387588,225633958,600155266,134205027,
284,low,15954,2143,600155284,182731621,
285,high,173999093,226022039,600155266,134018936,
285,low,16040,2138,600155275,182642922,
286,high,174224079,225797911,600155266,133947163,
286,low,16022,2159,600155276,182619908,
287,high,174752392,225269280,600155256,133719375,
287,low,15704,2076,600155278,182445260,
288,high,174716436,225304902,600155265,134349999,
288,low,16191,2208,600155284,182296320,
289,high,173399251,226623650,600155264,133950277,
289,low,15909,2104,600155284,182450481,
290,high,174077279,225944048,600155265,133992932,
290,low,15920,2126,600155285,182348139,
291,high,173681406,226338679,600155257,134135780,
291,low,16066,2134,600155283,182381782,
292,high,174334003,225687204,600155265,133824376,
292,low,15924,2145,600155284,182500600,
293,high,174258596,225762486,600155264,133907245,
293,low,15694,2081,600155284,182540428,
294,high,174772095,225249295,600155262,133682051,
294,low,16089,2161,600155283,182635127,
295,high,174643332,225377800,600155266,134316810,
295,low,16011,2210,600155283,182638155,
296,high,174050288,225971619,600155264,134023576,
296,low,15903,2131,600155283,182515317,
297,high,174648545,225372841,600155264,133739198,
297,low,15966,2183,600155285,182719632,
298,high,174959634,225061186,600155265,134251098,
298,low,15708,2079,600155286,182584735,
299,high,173591180,226430104,600155265,134153687,
299,low,15800,2102,600155283,182316072,
300,high,174432486,225588627,600155266,134371255,
300,low,16012,2157,600155286,182577504,
301,high,173414954,226605129,600155256,134253530,
301,low,16156,2162,600155284,182450144,
302,high,173591566,226429606,600155267,134157342,
302,low,16150,2206,600155283,182264742,
303,high,173791022,226230664,600155265,135113425,
303,low,15848,2132,600155284,182404390,
304,high,174056839,225964357,600155266,135267237,
304,low,15928,2087,600155285,182433669,
305,high,174333814,225687136,600155263,133869101,
305,low,16050,2138,600155285,182588843,
306,high,174217749,225803596,600155264,133931855,
306,low,15901,2108,600155286,182318623,
307,high,173682437,226337933,600155257,134136845,
307,low,15712,2038,600155284,182473874,
308,high,173414503,226605821,600155255,134257569,
308,low,16034,2099,600155276,182481389,
309,high,174782379,225238579,600155265,133669299,
309,low,15854,2089,600155285,182421953,
310,high,173413586,226607202,600155263,134274670,
310,low,16043,2117,600155284,182396055,
311,high,173473689,226547949,600155266,134818156,
311,low,15885,2124,600155284,182512015,
312,high,174188832,225832083,600155264,134606050,
312,low,15958,2128,600155284,182398697,
313,high,173719574,226300408,600155258,135071242,
313,low,15908,2121,600155276,182865142,
314,high,173394539,226627123,600155266,134292843,
314,low,16035,2149,600155283,182892760,
315,high,174553277,225468035,600155265,133740327,
315,low,15879,2166,600155283,182439192,
316,high,172613660,227406749,600155257,134612022,
316,low,15902,2118,600155286,182546049,
317,high,174518233,225503258,600155264,133789953,
317,low,15810,2129,600155284,182563919,
318,high,173587693,226434296,600155265,134001354,
318,low,16035,2140,600155285,182472699,
319,high,174384722,225636341,600155265,133806588,
319,low,16109,2185,600155285,182639197,
320,high,174576858,225444359,600155265,133668772,
320,low,15782,2123,600155286,182504173,
321,high,173492798,226528603,600155264,134261003,
321,low,15779,2093,600155283,182408805,
322,high,174255709,225764870,600155258,134842156,
322,low,16032,2130,600155284,182375632,
323,high,173846178,226175145,600155264,134093745,
323,low,15925,2083,600155278,182679942,
324,high,174267637,225753463,600155265,134469849,
324,low,15684,2077,600155277,182313374,
325,high,172915248,227105090,600155256,135414625,
325,low,15957,2141,600155283,182628919,
326,high,173943935,226077501,600155266,134043723,
326,low,15900,2103,600155285,182324432,
327,high,174463930,225558464,600155266,133754955,
327,low,15928,2089,600155285,182423910,
328,high,174146786,225874322,600155266,133856835,
328,low,15905,2261,600155283,182270398,
329,high,173147008,226873229,600155257,134373702,
329,low,15990,2173,600155285,182293129,
330,high,174755637,225265635,600155262,133694212,
330,low,16123,2128,600155286,182437108,
331,high,173864553,226156705,600155266,134086684,
331,low,15941,2178,600155284,182489279,
332,high,174270707,225750201,600155263,133864364,
332,low,16009,2196,600155285,182397477,
333,high,173879636,226143577,600155272,134152168,
333,low,15909,2172,600155283,182291444,
334,high,174329355,225692136,600155270,133886808,
334,low,15968,2030,600155285,182594030,
335,high,173657894,226363498,600155266,134154276,
335,low,15919,2127,600155286,183073966,
336,high,174405919,225615365,600155266,133849600,
336,low,15869,2140,600155285,182585873,
337,high,173782897,226246953,600155265,134318747,
337,low,16055,2135,600155284,182405023,
338,high,173414191,226606935,600155266,134286193,
338,low,16021,2128,600155275,182197961,
339,high,173940554,226080191,600155264,134691262,
339,low,16012,2113,600155287,182625287,
340,high,174645294,225375863,600155264,133693740,
340,low,16020,2147,600155285,182712332,
341,high,173652291,226367993,600155258,134108312,
341,low,15852,2171,600155285,182601775,
342,high,174215885,225804420,600155257,133901203,
342,low,15839,2077,600155286,182555380,
343,high,174146905,225874371,600155265,133922236,
343,low,16080,2197,600155284,182868139,
344,high,173831237,226190002,600155266,134090475,
344,low,15840,2126,600155284,182519316,
345,high,174285998,225734171,600155257,135752767,
345,low,15944,2106,600155277,182324197,
346,high,174396433,225624657,600155266,133797842,
346,low,15963,2104,600155277,182484514,
347,high,174538706,225482830,600155264,134407038,
347,low,16105,2261,600155285,182602449,
