run,baseline_elim,baseline_notelim,openssl_elim,openssl_notelim,add_elim,add_notelim,double_elim,double_notelim,mul_elim,mul_notelim,ad_elim,ad_notelim
0762,8571364,25070166,10720014,22923096,12262403,21379626,12812985,20829406,13354241,20286970,12263240,21378683
0763,8571846,25070114,10727467,22915993,12265987,21376188,12822672,20819339,13384530,20256965,12261567,21380721
0764,8571442,25070132,10778746,22864623,12261443,21380642,12822088,20819694,13382682,20259009,12268411,21373308
0765,8571960,25070276,10730682,22912884,12268981,21372837,12804639,20837339,13383352,20258181,12258088,21383931
0766,8571313,25070101,10715908,22927734,12264067,21377921,12819939,20822122,13386589,20255011,12271477,21370801
0767,8571763,25070043,10738414,22905501,12271828,21370027,12827587,20814525,13388988,20252273,12265672,21376145
0768,8571251,25070255,10795650,22847633,12270607,21371466,12824891,20817489,13385499,20255869,12269731,21372268
0769,8571468,25070148,10709555,22933654,12264511,21377321,12817499,20824688,13378963,20262319,12263124,21378790
0770,8571417,25070282,10791125,22851754,12265318,21376881,12819234,20822550,13378781,20263267,12266197,21375948
0771,8571373,25070110,10725159,22918436,12272293,21369840,12823945,20818156,13387501,20253765,12264399,21377525
0772,8571402,25070165,10722001,22921425,12269010,21373248,12820760,20821262,13384189,20257393,12270699,21371306
0773,8571539,25070168,10762665,22880813,12269046,21373007,12808547,20833833,13390121,20251395,12255403,21386395
0774,8571596,25070058,10727438,22915621,12264226,21377603,12823959,20817935,13385759,20255414,12263551,21378390
0775,8571441,25069964,10728650,22914565,12263084,21379289,12822382,20819529,13387059,20254165,12267729,21374233
0776,8571707,25070249,10732079,22911473,12258660,21383271,12818637,20822669,13376282,20265200,12263906,21378001
0777,8579775,25062049,10718069,22925904,12249479,21392639,12824763,20816970,13384795,20256399,12260268,21381697
0778,8571116,25070126,10797583,22846123,12264843,21376949,12831597,20810508,13349941,20291545,12263385,21378601
0779,8571640,25070066,10784430,22859133,12263845,21378326,12822015,20820383,13383066,20258192,12264218,21377787
0780,8571868,25069983,10725842,22917097,12268057,21374095,12823839,20817825,13379467,20261634,12260900,21381096
0781,8571668,25070098,10767398,22876302,12258968,21382874,12820945,20820773,13384789,20256418,12264721,21377349
0782,8573137,25071696,10714732,22928637,12268056,21374115,12824354,20817685,13383120,20258308,12263229,21379116
0783,8571552,25070093,10749716,22893695,12269070,21372914,12825179,20816836,13383563,20257579,12265601,21376562
0784,8571409,25070173,10752758,22890496,12266753,21375005,12826216,20815409,13384058,20257176,12264423,21377766
0785,8571264,25070230,10726057,22917417,12263669,21378236,12821450,20820899,13382795,20258525,12265916,21376426
0786,8572013,25069907,10755376,22888004,12265546,21376459,12825650,20815932,13391488,20249861,12268587,21373456
0787,8571639,25070091,10739542,22903736,12277755,21364363,12820063,20821866,13380048,20261393,12272034,21369995
0788,8571696,25070050,10730423,22912795,12265357,21376750,12824688,20817363,13388562,20253194,12269212,21372801
0789,8571247,25070110,10737183,22906738,12267572,21374718,12830048,20811886,13388610,20252770,12266931,21374818
0790,8571649,25069901,10704199,22939473,12268864,21373037,12814647,20827379,13384990,20256227,12271822,21370424
0791,8571583,25070038,10781373,22861939,12259988,21382110,12822848,20819052,13387776,20253655,12266035,21375918
0792,8571534,25070124,10797271,22846510,12269948,21372237,12827493,20814197,13373715,20267504,12268269,21373439
0793,8571801,25070041,10731691,22911866,12259112,21382901,12814208,20827633,13384577,20256759,12274116,21368201
0794,8571777,25070050,10736123,22907068,12302417,21339602,12833228,20808452,13388133,20253299,12261714,21380470
0795,8571700,25070118,10723154,22920194,12266621,21375165,12822353,20820012,13382523,20258755,11576603,22065412
0796,8571571,25070097,10737856,22905682,12263657,21378349,12824601,20817390,13383326,20258042,12260513,21381336
0797,8571048,25070192,10750070,22893264,12270339,21371467,12821887,20819710,13382836,20258208,12265195,21376707
0798,8571431,25070122,10726195,22917859,12265237,21376925,12814581,20827242,13372333,20268887,12271994,21370014
0799,8571952,25070067,10765778,22877607,12268306,21374104,12816508,20825348,13388774,20252682,12266851,21375272
0800,8571819,25070025,10804873,22838913,12275752,21366658,12825511,20816050,13382346,20259044,12272189,21370117
0801,8571578,25069987,10726251,22916854,12265633,21376854,12827336,20814698,13382293,20258527,12261395,21380552
0802,8571543,25070044,10721906,22921773,12269276,21372708,12818546,20823531,13384605,20256590,12267224,21375021
0803,8571765,25070058,10779080,22864017,12257302,21384586,12832116,20809737,13383375,20258077,12260209,21381667
0804,8571482,25070121,10729600,22913988,12259346,21382676,12815744,20825662,13382523,20258877,12266972,21375259
0805,8571796,25070021,10726686,22916714,12259182,21382624,12829262,20812680,13379262,20262112,12266680,21375744
0806,8571190,25070053,10740143,22903005,12268982,21373040,12823957,20817996,13384632,20256731,12271406,21370781
0807,8571225,25070227,10773491,22869911,12270940,21370847,12819812,20821720,13388577,20252855,12262146,21379674
0808,8571645,25069997,10723825,22919531,12266133,21375854,12824141,20817863,13384040,20257190,12265117,21377109
0809,8571595,25070024,10749082,22894265,12260008,21382071,12821677,20820318,13374765,20266622,12256672,21385016
0810,8580195,25061796,10733935,22909833,12262683,21379374,12827718,20814480,13370253,20270887,12264937,21377231
0811,8571822,25070087,10754191,22889428,12256774,21385440,12819897,20821572,13369559,20271556,12261925,21380712
0812,8571755,25070014,10726408,22917352,12262142,21379895,12823255,20818902,13380053,20261096,12262054,21380111
